date,bnkid,bnkid_remap,indicator,yearmonth,platformid,merchantnumber,merchantname,level1,level2,level3,element,buyrate,merchantbillingcode,merchantbillingcodename,revn_byrt_in,clientormerchant_in,volume,volume_factor,volume_cost,amount,amount_factor,amount_cost,amount_after_cost
12/01/2022,2900,2900,RETURN,202212,FD,5230722901003109,WILD HORSE BAR & GRILL,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,0994CREDIT,VISA,RETURN,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003372,EMPIRE LOUNGE,PROCESSING EXPENSE,ACH REJECT FEE,ACH REJECT FEE,5113,625113,IDW-MT-00064_C,ACH REJECT FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003521,THIRSTYS II,PASS-THRU EXPENSE,MC FALLBACK FINE,MC FALLBACK FINE,,,MRCMCFLB-201_E,MC FALLBACK FINE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003521,THIRSTYS II,PASS-THRU EXPENSE,VISA ACQ CR VOUCHER,VISA ACQ CR VOUCHER,,,VSAADPRC403_E,ACQ DATA PROC RTN C,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003521,THIRSTYS II,PASS-THRU EXPENSE,VISA ACQ DB VOUCHER,VISA ACQ DB VOUCHER,,,VSAADPRD404_E,ACQ DATA PROC RTN D,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003521,THIRSTYS II,PASS-THRU EXPENSE,DISCOVER AUTH FEE,DISCOVER AUTH FEE,,,DSCAUTH6103_E,DISC AUTH FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,SALES,202212,FD,5230722901003521,THIRSTYS II,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,-24CREDIT,VISA,SALES,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901003638,THE BENT ROD,PASS-THRU REVENUE,DISCOVER AUTH FEE,DISCOVER AUTH FEE,,,DSCAUTH6103_I,DISC AUTH FEE,REVENUE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901003638,THE BENT ROD,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI104_I,MC BIN ICA,REVENUE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901003638,THE BENT ROD,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI103_I,MC BIN ICA,REVENUE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901003968,ADELPHIA AUTO SERVICE,PASS-THRU EXPENSE,STAR ANNUAL FEE,STAR ANNUAL FEE,,,PIN000131301_E,STAR ANNUAL FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,SALES,202212,FD,5230722901005245,GREEN LANTERN,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0121CREDIT,MASTERCARD,SALES,M,9,0,0,524,0,0,524
12/01/2022,2900,2900,SALES,202212,FD,5230722901005245,GREEN LANTERN,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0781DEBIT,MASTERCARD,SALES,M,45,0,0,948.75,0,0,948.75
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901005252,WEST BROWARD ALTERNATORS,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI104_I,MC BIN ICA,REVENUE,M,2,0,0,0.009999999776482582,0,0,0.009999999776482582
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901005252,WEST BROWARD ALTERNATORS,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI103_I,MC BIN ICA,REVENUE,M,5,0,0,0.029999999329447746,0,0,0.029999999329447746
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901005278,CHEZ GUY,PASS-THRU REVENUE,KILOBYTE AUTH FEE US,KILOBYTE AUTH FEE US,,,MSTKBAUS103_I,KILOBYTE AUTH FEE US,REVENUE,M,57,0,0,0.12999999523162842,0,0,0.12999999523162842
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901005310,FOE #3496,PROCESSING EXPENSE,BASE DISCOUNT,BASE DISCOUNT VISA,9998,629998,FD_DERIVED_05_4,BASE DISCOUNT,EXPENSE,M,12180.17,0,0,-1.8270255327224731,0,0,-1.8270255327224731
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901005310,FOE #3496,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - VISA,5714,615714,0994CREDIT,VISA,EXPENSE,M,0,-0.0275,0,0,-0.0003,0,0
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901005310,FOE #3496,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI103_I,MC BIN ICA,REVENUE,M,85,0,0,0.6600000262260437,0,0,0.6600000262260437
12/01/2022,2900,2900,REVENUE,202212,FD,5230722901005344,AMIGOS MEXICAN GRILL,PASS-THRU REVENUE,MC LOCATION FEE,MC LOCATION FEE,,,MSTLCTNF103_I,LOCATION FEE,REVENUE,M,0,0,0,2.5,0,0,2.5
12/01/2022,2900,2900,EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,PASS-THRU EXPENSE,MERCHANT POSTAGE 2OZ,MERCHANT POSTAGE 2OZ,5972,625972,5972,MERCHANT POSTAGE 2OZ,EXPENSE,C,0,0,0,-17.399999618530273,0,0,-17.399999618530273
12/01/2022,2900,2900,EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,PASS-THRU EXPENSE,MERCHANT POSTAGE 1OZ,MERCHANT POSTAGE 1OZ,5971,625971,5971,MERCHANT POSTAGE 1OZ,EXPENSE,C,0,0,0,-12.600000381469727,0,0,-12.600000381469727
12/01/2022,2900,2900,EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,PROCESSING EXPENSE,BUYPASS AFP PRE-AUTHS COMPLETION FEE,BUYPASS AFP PRE-AUTHS COMPLETION FEE,1052,621052,1052,AFP PRE-AUTHORIZATION COMPLETION FEE,EXPENSE,C,1619,0,0,-12.142499923706055,0,0,-12.142499923706055
12/01/2022,2900,2900,EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION, ,800010,SM_ISO7_MONTHLY_RESIDUAL_REDIRECTION,RESIDUAL REDIRECTION,EXPENSE,C,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION,RESIDUAL REDIRECTION, ,800004,SM_ISO7_MONTHLY_RESIDUAL_REDIRECTION - 2,RESIDUAL REDIRECTION,EXPENSE,C,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722900900008,HOLIDAY AUTOMOTIVE FORD HQ,PROCESSING EXPENSE,MERCHANT ACCOUNT ON FILE,MERCHANT ACCOUNT ON FILE,5700,625700,FD_DERIVED_01,MERCHANT ACCOUNT ON FILE,EXPENSE,M,1,0,0,-5,0,0,-5
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722900900008,HOLIDAY AUTOMOTIVE FORD HQ,PROCESSING EXPENSE,REGULATORY PRODUCT FEE,REGULATORY PRODUCT FEE,5873,625873,FD_DERIVED_02,REGULATORY PRODUCT FEE,EXPENSE,M,1,0,0,-1,0,0,-1
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,AMEX ACQR TRANSACTION FEE,AMEX ACQR TRANSACTION FEE,,820001,AMXACQTN4303_E,AMEX ACQR TRANSACTION FEE,EXPENSE,M,301,0,0,-6.019999980926514,0,0,-6.019999980926514
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTRNTL RETURN FEE DB,INTRNTL RETURN FEE DB,,820001,VSAIAPFD404_E,INTRNTL RETURN FEE DB,EXPENSE,M,1,0,0,-0.019999999552965164,0,0,-0.019999999552965164
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,ACQ PROC FEE AUTH RVSL CR,ACQ PROC FEE AUTH RVSL CR,,820001,VSAAPFCR403_E,ACQ PROC FEE AUTH RVSL CR,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MC ICA AVS CARD PRESENT,MC ICA AVS CARD PRESENT,,,MSTAVSCP103_E,MC ICA AVS CARD PRESENT,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,ADDRESS VERIFICATION US,ADDRESS VERIFICATION US,,820001,VSAAVSUS403_E,ADDRESS VERIFICATION US,EXPENSE,M,10,0,0,-0.009999999776482582,0,0,-0.009999999776482582
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA INTERNATIONAL ACQUIRING FEE AMOUNT,VISA INTERNATIONAL ACQUIRING FEE AMOUNT,,820001,IDW-MT-00074_E,VISA INTERNATIONAL ACQUIRING FEE AMOUNT,EXPENSE,M,0,0,0,-0.7300000190734863,0,0,-0.7300000190734863
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,AMEX OPT BLUE NETWORK FEE,AMEX OPT BLUE NETWORK FEE,,820001,AMXNTWRK4303_E,AMEX OPT BLUE NETWORK FEE,EXPENSE,M,0,0,0,-22.40999984741211,0,0,-22.40999984741211
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS MC,,,IDW-CT-ASSMT1DEBIT_E,MASTERCARD,EXPENSE,M,0,0,0,-16.13909912109375,0,0,-16.13909912109375
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MC LICENSE FEE,MC LICENSE FEE,,820012,FD_DERIVED_05_1,MC LICENSE FEE,EXPENSE,M,22069.17,0,0,-1.3462194204330444,0,0,-1.3462194204330444
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE VISA,,,IDW-CT-000094CREDIT_E,REGULAR INTERCHANGE FEE AMOUNT,EXPENSE,M,0,0,0,-636.3900146484375,0,0,-636.3900146484375
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,MC INTERCHANGE,,,IDW-CT-000091CREDIT_E,REGULAR INTERCHANGE FEE AMOUNT,EXPENSE,M,0,0,0,-65.16000366210938,0,0,-65.16000366210938
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DISC ADDRESS VERIFICATION FEE,DISC ADDRESS VERIFICATION FEE,,,DSCADVSC6103_E,ADDR VERIFICATION SRV FEE,EXPENSE,M,1,0,0,-0.009999999776482582,0,0,-0.009999999776482582
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DISCOVER DATA USAGE FEE,DISCOVER DATA USAGE FEE,,,IDW-MT-00072_E,DISCOVER DATA USAGE FEE AMOUNT,EXPENSE,M,59,0,0,-0.14749999344348907,0,0,-0.14749999344348907
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE AMEX OPT BLUE,,,IDW-CT-0001143CREDIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-362.8299865722656,0,0,-362.8299865722656
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MASTERCARD ACQUIRER SUPPORT FEE AMOUNT,MASTERCARD ACQUIRER SUPPORT FEE AMOUNT,,820001,IDW-MT-00033_E,MASTERCARD ACQUIRER SUPPORT FEE AMOUNT,EXPENSE,M,0,0,0,-0.2199999988079071,0,0,-0.2199999988079071
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE MASTERCARD,,,IDW-CT-000111CREDIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-159.5500030517578,0,0,-159.5500030517578
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA ACQUIRER PROCESSOR DEBIT FEE AMOUNT,VISA ACQUIRER PROCESSOR DEBIT FEE AMOUNT,,820001,IDW-MT-00066_E,VISA ACQUIRER PROCESSOR DEBIT FEE AMOUNT,EXPENSE,M,969,0,0,-15.019499778747559,0,0,-15.019499778747559
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS MC,,,IDW-CT-ASSMT1CREDIT_E,MASTERCARD,EXPENSE,M,0,0,0,-12.550800323486328,0,0,-12.550800323486328
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,NVR APPRV REATTMPT DOM US,NVR APPRV REATTMPT DOM US,,820001,VSANADUS403_E,NVR APPRV REATTMPT DOM US,EXPENSE,M,1,0,0,-0.10000000149011612,0,0,-0.10000000149011612
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DISCOVER AUTH FEE PCF,DISCOVER AUTH FEE PCF,,820001,IDW-MT-00090_E,DISCOVER AUTHORIZATION FEE AMOUNT,EXPENSE,M,58,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MC LOCATION FEE,MC LOCATION FEE,,820001,MSTLCTNF103_E,LOCATION FEE,EXPENSE,M,0,0,0,-1.25,0,0,-1.25
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,BIN SHARED FEE,BIN SHARED FEE,,820011,CSTVSABI,BIN SHARED FEE,EXPENSE,M,1696,0,0,-1.6959999799728394,0,0,-1.6959999799728394
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE DISCOVER ACQ,,,IDW-CT-0001161CREDIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-50.45000076293945,0,0,-50.45000076293945
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DIGITAL INVESTMENT FEE,MC DIGITAL INVESTMENT FEE,,,DSCDGINV6103_E,DIGITAL INVESTMENT FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA FILE TRANSMISSION FEE,VISA FILE TRANSMISSION FEE,,,VSAFLTMF403_E,FILE TRANSMISSION FEE,EXPENSE,M,1696,0,0,-3.049999952316284,0,0,-3.049999952316284
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DISCOVER AUTH FEE,DISCOVER AUTH FEE,,,DSCAUTH6103_E,DISC AUTH FEE,EXPENSE,M,58,0,0,-1.100000023841858,0,0,-1.100000023841858
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MC KILOBYTE FEE AMOUNT,MC KILOBYTE FEE AMOUNT,,,MSTKILOB103_E,MC KILOBYTE FEE,EXPENSE,M,418,0,0,-0.9599999785423279,0,0,-0.9599999785423279
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DEBIT NETWORK FEE,MAESTRO DEBIT,,,DNF14,DEBIT NETWORK FEE,EXPENSE,M,1,0,0,-0.25999999046325684,0,0,-0.25999999046325684
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE VISA,,,IDW-CT-000114CREDIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-54.33000183105469,0,0,-54.33000183105469
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS DISC ACQ,,,IDW-CT-ASSMT61DEBIT_E,DISCOVER ACQUIRING,EXPENSE,M,0,0,0,-0.007499999832361937,0,0,-0.007499999832361937
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS VISA,,,IDW-CT-ASSMT4DEBIT_E,VISA,EXPENSE,M,0,0,0,-41.31880187988281,0,0,-41.31880187988281
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTRNTL RETURN FEE CR,INTRNTL RETURN FEE CR,,820001,VSAIAPFC403_E,INTRNTL RETURN FEE CR,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE VISA,,,IDW-CT-000094DEBIT_E,REGULAR INTERCHANGE FEE AMOUNT,EXPENSE,M,0,0,0,-5.03000020980835,0,0,-5.03000020980835
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA ACQUIRER ISA FEE AMOUNT,VISA ACQUIRER ISA FEE AMOUNT,,820001,IDW-MT-00035_E,VISA ACQUIRER ISA FEE AMOUNT,EXPENSE,M,0,0,0,-1.6200000047683716,0,0,-1.6200000047683716
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE VISA,,,IDW-CT-000114DEBIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-309.5,0,0,-309.5
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE DISCOVER ACQ,,,IDW-CT-0001161DEBIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-0.10000000149011612,0,0,-0.10000000149011612
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA ACQUIRING PROCESSOR FEE AMOUNT,VISA ACQUIRING PROCESSOR FEE AMOUNT,,820001,IDW-MT-00030_E,VISA ACQUIRING PROCESSOR FEE AMOUNT,EXPENSE,M,693,0,0,-13.513500213623047,0,0,-13.513500213623047
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,VISA NPF CARD PRESENT FEE AMOUNT,VISA NPF CARD PRESENT FEE AMOUNT,,820001,IDW-MT-00067_E,VISA NPF CARD PRESENT FEE AMOUNT,EXPENSE,M,0,0,0,-2,0,0,-2
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,ACQ PROC FEE AUTH RVSL DB,ACQ PROC FEE AUTH RVSL DB,,820001,VSAAPFDR404_E,ACQ PROC FEE AUTH RVSL DB,EXPENSE,M,1,0,0,-0.019999999552965164,0,0,-0.019999999552965164
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS VISA,,,IDW-CT-ASSMT4CREDIT_E,VISA,EXPENSE,M,0,0,0,-37.650901794433594,0,0,-37.650901794433594
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,KILOBYTE AUTH FEE US,KILOBYTE AUTH FEE US,,820001,MSTKBAUS103_E,KILOBYTE AUTH FEE US,EXPENSE,M,323,0,0,-0.7400000095367432,0,0,-0.7400000095367432
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,ICA SHARED FEE,ICA SHARED FEE,,820010,CSTMSTBI,ICA SHARED FEE,EXPENSE,M,633,0,0,-4.937399864196777,0,0,-4.937399864196777
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MASTERCARD ACQUIRER NABU FEE AMOUNT,MASTERCARD ACQUIRER NABU FEE AMOUNT,,820001,IDW-MT-00034_E,MASTERCARD ACQUIRER NABU FEE AMOUNT,EXPENSE,M,615,0,0,-11.992500305175781,0,0,-11.992500305175781
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,INTERCHANGE,INTERCHANGE EXPENSE MASTERCARD,,,IDW-CT-000111DEBIT_E,INTERCHANGE DISCOUNT CHARGE/COST AMOUNT,EXPENSE,M,0,0,0,-156.50999450683594,0,0,-156.50999450683594
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,PULSE ANNUAL FEE,PULSE ANNUAL FEE,,,PIN000232301_E,PULSE ANNUAL FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,MASTERCARD CROSS BORDER FEE AMOUNT,MASTERCARD CROSS BORDER FEE AMOUNT,,,IDW-MT-00032_E,MASTERCARD CROSS BORDER FEE AMOUNT,EXPENSE,M,0,0,0,-0.1599999964237213,0,0,-0.1599999964237213
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PASS-THRU EXPENSE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS DISC ACQ,,,IDW-CT-ASSMT61CREDIT_E,DISCOVER ACQUIRING,EXPENSE,M,0,0,0,-2.9349000453948975,0,0,-2.9349000453948975
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,REGULATORY PRODUCT FEE,REGULATORY PRODUCT FEE,5873,625873,FD_DERIVED_02,REGULATORY PRODUCT FEE,EXPENSE,M,1,0,0,-1,0,0,-1
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,ACH REJECT FEE,ACH REJECT FEE,5113,625113,IDW-MT-00064_C,ACH REJECT FEE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,PIN DEBIT DATAWIRE AUTHS,DATAWIRE AUTHS PULSE DEBIT,3521,623521,23KDEBIT,DATAWIRE,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,PIN DEBIT TRANSACTIONS,SALES TRANSACTIONS - ALASKA OPTION,5715,625715,-227DEBIT,PIN DEBIT,EXPENSE,M,0,0,0,0,0,0,0
12/01/2022,2900,2900,EXPENSE,202212,FD,5230722901001202,BRICKYARD PIZZA,PROCESSING EXPENSE,PIN DEBIT TRANSACTIONS,SALES TRANSACTIONS - CU24 DEBIT,5715,625715,-225DEBIT,PIN DEBIT,EXPENSE,M,0,0,0,0,0,0,0
