indicator,yearmonth,platformid,merchantnumber,merchantname,level1,level2,level3,element,buyrate,merchantbillingcode,merchantbillingcodename,revn_byrt_in,clientormerchant_in,volume,amount,bnkid,date
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD DATAWIRE AUTHS,DATAWIRE AUTHS VISA,3521,623521,4KCREDIT,DATAWIRE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,SURCHARGE BASE DISCOUNT,SURCHARGE BASE DISCOUNT VISA,9999,629999,FD_DERIVED_04_4,SURCHARGE BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - DISCOVER ACQ,5714,625714,11561DEBIT,DISCOVER ACQUIRING,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - MASTERCARD,5714,615714,0781DEBIT,MASTERCARD,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - MASTERCARD,5714,625714,0781DEBIT,MASTERCARD,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD DATAWIRE AUTHS,DATAWIRE AUTHS DISCOVER ACQUIRING,3521,623521,61KCREDIT,DATAWIRE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,MERCHANT ACCOUNT ON FILE,MERCHANT ACCOUNT ON FILE,5700,625700,FD_DERIVED_01,MERCHANT ACCOUNT ON FILE,EXPENSE,M,1.0000,5.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,PCI RAPID COMPLY FEE,PCI RAPID COMPLY PER STATEMENT CHARGE,0001,720001,PCIRAPIDCOMPLY,PCI RAPID COMPLY STATEMENT CHARGE,EXPENSE,M,1.0000,2.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,ACH REJECT FEE,ACH REJECT FEE,5113,625113,IDW-MT-00064_C,ACH REJECT FEE,EXPENSE,M,1.0000,2.5000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BASE DISCOUNT,BASE DISCOUNT AMEX OPT BLUE,9998,629998,FD_DERIVED_05_43,BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - VISA,5714,625714,0994CREDIT,VISA,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - VISA,5714,615714,1324DEBIT,VISA,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD DATAWIRE AUTHS,DATAWIRE AUTHS AMERICAN EXPRESS BLUE,3521,623521,43KCREDIT,DATAWIRE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - DISCOVER ACQ,5714,615714,11461CREDIT,DISCOVER ACQUIRING,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - MASTERCARD,5714,615714,0121CREDIT,MASTERCARD,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BASE DISCOUNT,BASE DISCOUNT MASTERCARD,9998,629998,FD_DERIVED_05_1,BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - DISCOVER ACQ,5714,615714,11561DEBIT,DISCOVER ACQUIRING,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,SURCHARGE BASE DISCOUNT,SURCHARGE BASE DISCOUNT DISCOVER ACQ,9999,629999,FD_DERIVED_04_61,SURCHARGE BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - DISCOVER ACQ,5714,625714,11461CREDIT,DISCOVER ACQUIRING,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - VISA,5714,625714,1324DEBIT,VISA,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - MASTERCARD,5714,625714,0121CREDIT,MASTERCARD,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,SALES TRANSACTIONS - OPT BLUE,5714,625714,53143CREDIT,AMERICAN EXPRESS BLUE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,PCI NON VALIDATION FINE,NON-RECEIPT OF PCI DATA VALIDATION FINE,5859,625859,MRCPCINC,NON-RECEIPT OF PCI DATA VALIDATION FINE,EXPENSE,M,1.0000,15.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD DATAWIRE AUTHS,DATAWIRE AUTHS VISA,3521,623521,4KDEBIT,DATAWIRE,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,BANKCARD TRANSACTIONS,RETURN TRANSACTIONS - VISA,5714,615714,0994CREDIT,VISA,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,12B LETTER,12B LETTER,5727,625727,IDW-MT-00054_C,12B LETTER,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,SURCHARGE BASE DISCOUNT,SURCHARGE BASE DISCOUNT MASTERCARD,9999,629999,FD_DERIVED_04_1,SURCHARGE BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,5230723001000078,GO PRIMO,PROCESSING EXPENSE,SURCHARGE BASE DISCOUNT,SURCHARGE BASE DISCOUNT AMEX OPT BLUE,9999,629999,FD_DERIVED_04_43,SURCHARGE BASE DISCOUNT,EXPENSE,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - MID-QUAL,QUALIFICATION VOLUME - OPT BLUE,0000,,43,AMEX OPT BLUE,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - MID-QUAL,QUALIFICATION VOLUME - VISA,0000,,4,VISA,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - QUAL,QUALIFICATION VOLUME - DISCOVER ACQ,0000,,61,DISCOVER ACQUIRING,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - QUAL,QUALIFICATION VOLUME - VISA,0000,,4,VISA,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - NON-QUAL,QUALIFICATION VOLUME - OPT BLUE,0000,,43,AMEX OPT BLUE,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - QUAL,QUALIFICATION VOLUME - OPT BLUE,0000,,43,AMEX OPT BLUE,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - NON-QUAL,QUALIFICATION VOLUME - DISCOVER ACQ,0000,,61,DISCOVER ACQUIRING,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - MID-QUAL,QUALIFICATION VOLUME - MASTERCARD,0000,,1,MASTERCARD,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - MID-QUAL,QUALIFICATION VOLUME - DISCOVER ACQ,0000,,61,DISCOVER ACQUIRING,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - NON-QUAL,QUALIFICATION VOLUME - MASTERCARD,0000,,1,MASTERCARD,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - NON-QUAL,QUALIFICATION VOLUME - VISA,0000,,4,VISA,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
QUALIFICATION,202212,FD,5230723001000078,GO PRIMO,QUALIFICATION OF SALES,QUALIFICATION VOLUMES - QUAL,QUALIFICATION VOLUME - MASTERCARD,0000,,1,MASTERCARD,QUALIFICATION,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,0994CREDIT,VISA,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - DISCOVER ACQUIRING,0000,,11461CREDIT,DISCOVER ACQUIRING,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - AMERICAN EXPRESS OPT BLUE,0000,,53143CREDIT,AMERICAN EXPRESS OPT BLUE,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0121CREDIT,MASTERCARD,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0781DEBIT,MASTERCARD,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,1324DEBIT,VISA,RETURN,M,0.0000,0.0000000,3000,12/01/2022
RETURN,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - DISCOVER ACQUIRING,0000,,11561DEBIT,DISCOVER ACQUIRING,RETURN,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,DISCOVER AUTH FEE,DISCOVER AUTH FEE,,,DSCAUTH6103_I,DISC AUTH FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,MC LOCATION FEE,MC LOCATION FEE,,,MSTLCTNF103_I,LOCATION FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION,,,MSTPIFAV103_I,INTG FATHV FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,AMEX OPT BLUE NETWORK FEE,AMEX OPT BLUE NETWORK FEE,,,AMXNTWRK4303_I,AMEX OPT BLUE NETWORK FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,INVALID TIN FEE,INVALID TIN FEE,,,IDW-MT-00100_I,INVALID TAXPAYER IDENTIFICATION AMOUNT,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS VISA,,,VSADACRD403_I,CR DUES AND ASSESS,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,VISA BIN ICA,VISA BIN ICA,,,CSTVSABI403_I,VISA BIN ICA,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI103_I,MC BIN ICA,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,INTRNTL RETURN FEE DB,INTRNTL RETURN FEE DB,,,VSAIAPFD404_I,INTRNTL RETURN FEE DB,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,VISA BIN ICA,VISA BIN ICA,,,CSTVSABI404_I,VISA BIN ICA,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION MINIMUM,PROCESSING INTEGRITY FEE-FINAL AUTHORIZATION MINIMUM,,,MSTPIFAI103_I,INTG FATHI FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,VISA FILE TRANSMISSION FEE,VISA FILE TRANSMISSION FEE,,,VSAFLTMF403_I,FILE TRANSMISSION FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,MC BIN ICA,MC BIN ICA,,,CSTMSTBI104_I,MC BIN ICA,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,PROCESSING INTEGRITY FEE-IMAGE FEE,PROCESSING INTEGRITY FEE-IMAGE FEE,,,MSTIMGFE103_I,PS INTG IMGFEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,DUES AND ASSESSMENTS,DUES AND ASSESSMENTS VISA,,,VSADADBT404_I,DB DUES AND ASSESS,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,KILOBYTE AUTH FEE US,KILOBYTE AUTH FEE US,,,MSTKBAUS103_I,KILOBYTE AUTH FEE US,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,ACQ PROC FEE AUTH RVSL DB,ACQ PROC FEE AUTH RVSL DB,,,VSAAPFDR404_I,ACQ PROC FEE AUTH RVSL DB,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,MC KILOBYTE FEE AMOUNT,MC KILOBYTE FEE AMOUNT,,,MSTKILOB103_I,MC KILOBYTE FEE,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PASS-THRU REVENUE,PCI NON VALIDATION FINE,NON-RECEIPT OF PCI VALIDATION FINE,,,MRCPCINC-201_I,START PCI NVF,REVENUE,M,1.0000,19.9500000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PROCESSING REVENUE,ACCOUNT CHARGE SECOND AMOUNT,ACCOUNT CHARGE SECOND AMOUNT,,,IDW-MT-00026_I,ACCOUNT CHARGE SECOND AMOUNT,REVENUE,M,0.0000,10.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PROCESSING REVENUE,ACCOUNT CHARGE AMOUNT,ACCOUNT CHARGE AMOUNT,,,IDW-MT-00027_I,ACCOUNT CHARGE AMOUNT,REVENUE,M,0.0000,25.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PROCESSING REVENUE,12B LETTER,12B LETTER,,,IDW-MT-00054_I,12B LETTER CHARGE/COST AMOUNT,REVENUE,M,0.0000,0.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PROCESSING REVENUE,ACH REJECT FEE,ACH REJECT FEE AMOUNT,,,IDW-MT-00064_I,ACH REJECT FEE AMOUNT,REVENUE,M,1.0000,15.0000000,3000,12/01/2022
REVENUE,202212,FD,5230723001000078,GO PRIMO,PROCESSING REVENUE,ACCOUNT CHARGE FIVE AMOUNT,ACCOUNT CHARGE FIVE AMOUNT,,,IDW-MT-00117_I,ACCOUNT CHARGE FIVE AMOUNT,REVENUE,M,0.0000,3.9500000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,0994CREDIT,VISA,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - AMERICAN EXPRESS OPT BLUE,0000,,53143CREDIT,AMERICAN EXPRESS OPT BLUE,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0121CREDIT,MASTERCARD,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - MASTERCARD,0000,,0781DEBIT,MASTERCARD,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - VISA,0000,,1324DEBIT,VISA,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - DISCOVER ACQUIRING,0000,,11561DEBIT,DISCOVER ACQUIRING,SALES,M,0.0000,0.0000000,3000,12/01/2022
SALES,202212,FD,5230723001000078,GO PRIMO,SALES VOLUME,BANKCARD VOLUME,SALES VOLUME - DISCOVER ACQUIRING,0000,,11461CREDIT,DISCOVER ACQUIRING,SALES,M,0.0000,0.0000000,3000,12/01/2022
EXPENSE,202212,FD,12252900100005572,CLIENT LEVEL EXPENSE,PASS-THRU EXPENSE,MERCHANT POSTAGE 2OZ,MERCHANT POSTAGE 2OZ,5972,625972,5972,MERCHANT POSTAGE 2OZ,EXPENSE,C,0.0000,17.4000000,2900,12/01/2022
